trigramme,emploi,nom,prenom,telephone,email
STR,planificateur,TESSIER,claudia,678125265,claudia.tessier@ikeo.com
EBD,livreur,BERAND,élisa,678541296,elisa.berand@ikeo.com
SWL,livreur,WHEEL,sophie,685698568,sophie.wheel@ikeo.com
MPK,livreur,POLIK,marja,612885685,marja.polik@ikeo.com
CMJ,livreur,MARUJ,citeb,657477854,citeb.maruj@ikeo.com
MKR,livreur,KEPLER,malik,685584112,malik.kepler@ikeo.com
EET,livreur,EKKART,elisa,652145821,elisa.ekkart@ikeo.com
MJO,planificateur,JODO,mylène,658952241,mylene.jodo@ikeo.com
AAA,livreur,AN,ais,657813525,ais.an@ikeo.com
WKT,livreur,KENT,wong,658548526,wong.kent@ikeo.com
CJE,livreur,JUNE,carolyn,658400001,carolyn.june@ikeo.com
MPT,livreur,PARROT,michel,689752214,michel.parrot@ikeo.com
PMT,livreur,MERLOT,paul,644732212,paul.merlot@ikeo.com
MNL,livreur,NEEL,maurice,652251251,maurice.neel@ikeo.com
KMR,planificateur,MERCIER,koi,652146524,koi.mercier@ikeo.com
RNI,livreur,NULI,robert,609856325,robert.nuli@ikeo.com
ABM,planificateur,BOTOM,ahmed,6212118525,ahmed.botom@ikeo.com
