"trigramme","emploi","nom","prenom","telephone","email"
"STR",planificateur,"TESSIER","claudia",678125265,fsdf,
"EBD",livreur,"BERAND","élisa",678541296,sdf,
"SWL",livreur,"WHEEL","sophie",685698568,dsf,
"MPK",livreur,"POLIK","marja",612885685,sdfsd,
"CMJ",livreur,"MARUJ","citeb",657477854,sdfs,
"MKR",livreur,"KEPLER","malik",685584112,sfdf,
"EET",livreur,"EKKART","elisa",652145821,dfs,
"MJO",planificateur,"JODO","mylène",658952241,dsfsdf,
"AAA",livreur,"AN","ais",657813525,qsdf,
"WKT",livreur,"KENT","wong",658548526,qsdf,
"CJE",livreur,"JUNE","carolyn",658400001,sdfqsd,
"MPT",livreur,"PARROT","michel",689752214,dsfqsdf,
"PMT",livreur,"MERLOT","paul",644732212,dsqfqsdf,
"MNL",livreur,"NEEL","maurice",652251251,dsfqsdfqsdf,
"KMR",planificateur,"MERCIER","koi",652146524,sqfsqdfq,
"RNI",livreur,"NULI","robert",609856325,sdfqsdf,
"ABM",planificateur,"BOTOM","ahmed",6212118525,sdfqsdf,
